stableId,version,countryScope,subregionScope,communityScope,category,difficulty,questionText,acceptedAnswer,lifecycleStatus,specialistReviewRequired,sensitivityNotes,sourceTitle,sourceUrl,humanDecision,humanReviewer,humanReviewDate,humanReviewNotes
central_angola_sona_medium,1,Angola,Eastern Angola,Lunda Cokwe and neighbouring peoples,ART,introductory,What surface is central to traditional Sona drawing?,A smoothed layer of sand,draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,"Sona, drawings and geometric figures on sand",https://ich.unesco.org/en/RL/sona-drawings-and-geometric-figures-on-sand-01994,pending,,,
central_angola_sona_memory,1,Angola,Eastern Angola,Lunda Cokwe and neighbouring peoples,ORAL HISTORY,intermediate,What can Sona drawings transmit between generations?,"Stories, knowledge and collective memory",draft,yes,"Indigenous community terminology, rights and knowledge require community-led review; historical source labels must not override current self-identification.","Sona, drawings and geometric figures on sand",https://ich.unesco.org/en/RL/sona-drawings-and-geometric-figures-on-sand-01994,pending,,,
central_angola_sona_method,1,Angola,Eastern Angola,Lunda Cokwe and neighbouring peoples,ART,introductory,How does a Sona practitioner begin many figures?,By marking reference points before tracing lines around them,draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,"Sona, drawings and geometric figures on sand",https://ich.unesco.org/en/RL/sona-drawings-and-geometric-figures-on-sand-01994,pending,,,
central_angola_sona_contemporary,1,Angola,Eastern Angola,Lunda Cokwe and neighbouring peoples,MODERN HISTORY,intermediate,Where has Sona also been used in recent decades?,Educational institutes teaching mathematics and anthropology,draft,yes,"Indigenous community terminology, rights and knowledge require community-led review; historical source labels must not override current self-identification.","Sona, drawings and geometric figures on sand",https://ich.unesco.org/en/RL/sona-drawings-and-geometric-figures-on-sand-01994,pending,,,
central_angola_mbanza_plateau,1,Angola,Zaire Province,Kongo heritage communities,GEOGRAPHY,advanced,On what kind of landform is Mbanza Kongo located?,A plateau,draft,yes,Archaeology and ancient political history require local heritage review; do not map past cultures directly onto modern identities.,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",https://whc.unesco.org/en/list/1511,pending,,,
central_angola_mbanza_functions,1,Angola,Zaire Province,Kongo heritage communities,HISTORY,introductory,Which places shaped Mbanza Kongo's early political landscape?,"Royal residence, customary court and royal burial places",draft,yes,Archaeology and ancient political history require local heritage review; do not map past cultures directly onto modern identities.,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",https://whc.unesco.org/en/list/1511,pending,,,
central_angola_mbanza_building_layers,1,Angola,Zaire Province,Kongo heritage communities,ART & HISTORY,intermediate,What changed in Mbanza Kongo after Portuguese arrival in the fifteenth century?,Stone buildings were added to an existing city built in local materials,draft,yes,"Colonialism, enslavement or violence: trauma-informed historical and community review is required.","Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",https://whc.unesco.org/en/list/1511,pending,,,
central_angola_mbanza_kikongo_text,1,Angola,Zaire Province,Kongo heritage communities,LANGUAGE,introductory,What language was used for a catechism written at Mbanza Kongo in 1624?,Kikongo,draft,yes,"Colonialism, enslavement or violence: trauma-informed historical and community review is required.","Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",https://whc.unesco.org/en/list/1511,pending,,,
central_cameroon_nguon_interval,1,Cameroon,West Region,Bamoun community,TRADITION,intermediate,How often is Nguon observed in UNESCO's account?,Every two years,draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,"Nguon, rituals of governance and associated expressions in the Bamoun community",https://ich.unesco.org/en/RL/nguon-rituals-of-governance-and-associated-expressions-in-the-bamoun-community-01955,pending,,,
central_cameroon_nguon_consultation,1,Cameroon,West Region,Bamoun community,TRADITION,advanced,What do ritual chiefs gather before speaking with the Mfon during Nguon?,Community views on the state of the kingdom,draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,"Nguon, rituals of governance and associated expressions in the Bamoun community",https://ich.unesco.org/en/RL/nguon-rituals-of-governance-and-associated-expressions-in-the-bamoun-community-01955,pending,,,
central_cameroon_nguon_accountability,1,Cameroon,West Region,Bamoun community,HISTORY,introductory,What is unusual about the Mfon's public role during Nguon?,His governance is publicly assessed and may be sanctioned,draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,"Nguon, rituals of governance and associated expressions in the Bamoun community",https://ich.unesco.org/en/RL/nguon-rituals-of-governance-and-associated-expressions-in-the-bamoun-community-01955,pending,,,
central_cameroon_nguon_transmission,1,Cameroon,West Region,Bamoun community,MODERN HISTORY,intermediate,Which channels help transmit knowledge of Nguon today?,"Families, community groups, radio, schools and universities",draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,"Nguon, rituals of governance and associated expressions in the Bamoun community",https://ich.unesco.org/en/RL/nguon-rituals-of-governance-and-associated-expressions-in-the-bamoun-community-01955,pending,,,
central_cameroon_ngondo_calendar,1,Cameroon,Wouri River and Sawa districts,Sawa communities,TRADITION,introductory,When does the annual Ngondo season culminate?,On the first Sunday of December,draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,"Ngondo, worship of water oracles and associated cultural traditions among the Sawa",https://ich.unesco.org/en/RL/ngondo-worship-of-water-oracles-and-associated-cultural-traditions-among-the-sawa-02140,pending,,,
central_cameroon_ngondo_public,1,Cameroon,Wouri River and Sawa districts,Sawa communities,MODERN HISTORY,intermediate,Which activity belongs to the public festive side of Ngondo?,"A travelling caravan with arts, wrestling, crafts and commerce",draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,"Ngondo, worship of water oracles and associated cultural traditions among the Sawa",https://ich.unesco.org/en/RL/ngondo-worship-of-water-oracles-and-associated-cultural-traditions-among-the-sawa-02140,pending,,,
central_cameroon_ngondo_river,1,Cameroon,Wouri River and Sawa districts,Sawa communities,GEOGRAPHY,advanced,Which river is central to the public UNESCO account of Ngondo?,The Wouri River,draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,"Ngondo, worship of water oracles and associated cultural traditions among the Sawa",https://ich.unesco.org/en/RL/ngondo-worship-of-water-oracles-and-associated-cultural-traditions-among-the-sawa-02140,pending,,,
central_cameroon_ngondo_transmission,1,Cameroon,Wouri River and Sawa districts,Sawa communities,TRADITION,introductory,How are public and sacred Ngondo knowledge transmitted differently?,Public practices pass through families; sacred parts require initiation,draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,"Ngondo, worship of water oracles and associated cultural traditions among the Sawa",https://ich.unesco.org/en/RL/ngondo-worship-of-water-oracles-and-associated-cultural-traditions-among-the-sawa-02140,pending,,,
central_cameroon_dja_boundary,1,Cameroon,Dja River basin,Communities around the Dja reserve,GEOGRAPHY,intermediate,What forms much of the natural boundary of the Dja Faunal Reserve?,The Dja River,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Dja Faunal Reserve,https://whc.unesco.org/en/list/407,pending,,,
central_cameroon_dja_intact,1,Cameroon,Dja River basin,Communities around the Dja reserve,GEOGRAPHY,introductory,Approximately what share of Dja was described as undisturbed at inscription?,Ninety percent,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Dja Faunal Reserve,https://whc.unesco.org/en/list/407,pending,,,
central_cameroon_dja_primates,1,Cameroon,Dja River basin,Communities around the Dja reserve,GEOGRAPHY,intermediate,What kind of animal diversity is Dja especially noted for?,Primates,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Dja Faunal Reserve,https://whc.unesco.org/en/list/407,pending,,,
central_cameroon_dja_basin,1,Cameroon,Dja River basin,Communities around the Dja reserve,GEOGRAPHY,advanced,Dja's dense rainforest forms part of which larger ecological region?,The Congo Basin,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Dja Faunal Reserve,https://whc.unesco.org/en/list/407,pending,,,
central_car_aka_voices,1,Central African Republic,South-west,Aka communities,MUSIC,introductory,How many interweaving voice parts does UNESCO highlight in Aka polyphony?,Four,draft,yes,"Indigenous community terminology, rights and knowledge require community-led review; historical source labels must not override current self-identification.",Polyphonic singing of the Aka Pygmies of Central Africa,https://ich.unesco.org/en/RL/polyphonic-singing-of-the-aka-pygmies-of-central-africa-00082,pending,,,
central_car_aka_improvisation,1,Central African Republic,South-west,Aka communities,MUSIC,intermediate,What allows Aka singers to vary a performance without written notation?,Spontaneous expression and improvisation,draft,yes,"Indigenous community terminology, rights and knowledge require community-led review; historical source labels must not override current self-identification.",Polyphonic singing of the Aka Pygmies of Central Africa,https://ich.unesco.org/en/RL/polyphonic-singing-of-the-aka-pygmies-of-central-africa-00082,pending,,,
central_car_aka_participation,1,Central African Republic,South-west,Aka communities,TRADITION,introductory,Who may master the vocal practice according to UNESCO's description?,Members across the Aka community,draft,yes,"Indigenous community terminology, rights and knowledge require community-led review; historical source labels must not override current self-identification.",Polyphonic singing of the Aka Pygmies of Central Africa,https://ich.unesco.org/en/RL/polyphonic-singing-of-the-aka-pygmies-of-central-africa-00082,pending,,,
central_car_aka_contexts,1,Central African Republic,South-west,Aka communities,TRADITION,intermediate,Which setting is among those linked with Aka music and dance?,The inauguration of a new encampment,draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,Polyphonic singing of the Aka Pygmies of Central Africa,https://ich.unesco.org/en/RL/polyphonic-singing-of-the-aka-pygmies-of-central-africa-00082,pending,,,
central_regional_sangha_countries,1,Cameroon; Central African Republic; Congo,North-west Congo Basin,Communities and custodians of the Sangha landscape,GEOGRAPHY,advanced,Which three countries share the Sangha Trinational property?,"Cameroon, Central African Republic and Congo",draft,yes,"Regional or national classification is editorial, not a claim of uniform identity; require local review of cross-border framing.",Sangha Trinational,https://whc.unesco.org/en/list/1380,pending,,,
central_regional_sangha_parks,1,Cameroon; Central African Republic; Congo,North-west Congo Basin,Communities and custodians of the Sangha landscape,GEOGRAPHY,introductory,What is the structure of the core Sangha Trinational property?,Three contiguous national parks,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Sangha Trinational,https://whc.unesco.org/en/list/1380,pending,,,
central_regional_sangha_clearings,1,Cameroon; Central African Republic; Congo,North-west Congo Basin,Communities and custodians of the Sangha landscape,GEOGRAPHY,intermediate,What ecological feature supports herbaceous plants within Sangha's forest?,Forest clearings,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Sangha Trinational,https://whc.unesco.org/en/list/1380,pending,,,
central_regional_sangha_buffer,1,Cameroon; Central African Republic; Congo,North-west Congo Basin,Communities and custodians of the Sangha landscape,MODERN HISTORY,introductory,Why does Sangha have a much larger buffer landscape around its core parks?,To recognize the wider landscape and its inhabitants as vital to the property's future,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Sangha Trinational,https://whc.unesco.org/en/list/1380,pending,,,
central_chad_ounianga_count,1,Chad,North-east Sahara,Ounianga communities,GEOGRAPHY,intermediate,How many lakes make up the Lakes of Ounianga property?,Eighteen,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Lakes of Ounianga,https://whc.unesco.org/en/list/1400,pending,,,
