sourceId,title,organisationOrAuthor,urlOrReference,sourceType,accessDate,candidateCount,relevantClaim
WA-S01,Craftsmanship of traditional woven textile Kente,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/craftsmanship-of-traditional-woven-textile-kente-02130,heritage,2026-09-03,2,"Kente in Ghana is strip-woven from silk, cotton or rayon, and its skills pass through families, apprenticeships and education."
WA-S02,Highlife music and dance,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/highlife-music-and-dance-02141,heritage,2026-09-03,2,"Ghanaian Highlife combines storytelling, lively rhythms and call-and-response, and includes Dance Band, Guitar Band and Burger styles."
WA-S03,Asante Traditional Buildings,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/35/,heritage,2026-09-03,2,"The surviving Asante buildings near Kumasi use timber, bamboo and mud plaster, are arranged around courtyards and carry symbolic bas-reliefs."
WA-S04,"Ceebu Jën, a culinary art of Senegal",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/ceebu-jen-a-culinary-art-of-senegal-01748,heritage,2026-09-03,3,"Ceebu jën originated in Saint-Louis fishing communities; recipes vary, typically pairing fish and broken rice with locally selected ingredients and dining practices."
WA-S05,Stone Circles of Senegambia,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1226/,heritage,2026-09-03,2,"Four inscribed groups in Senegal and The Gambia form part of a landscape of more than 1,000 laterite stone circles and related burial mounds."
WA-S06,"Kankurang, Manding initiatory rite",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/kankurang-manding-initiatory-rite-00143,heritage,2026-09-03,2,"Kankurang is a Manding initiatory rite documented in Senegal and The Gambia, especially Casamance and Mbour; some knowledge is access-restricted."
WA-S07,"Morna, musical practice of Cabo Verde",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/morna-musical-practice-of-cabo-verde-01469,heritage,2026-09-03,3,"Morna combines voice, instruments, poetry and dance; lyrics are now mainly in Cabo Verdean Creole and it accompanies significant social occasions."
WA-S08,"Cidade Velha, Historic Centre of Ribeira Grande",UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1310,heritage,2026-09-03,2,"Cidade Velha on Santiago was an early Atlantic port and a site of colonialism, enslavement and the development of Cabo Verdean Creole society."
WA-S09,Royal Palaces of Abomey,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/323,heritage,2026-09-03,2,"The Abomey palace complex records the succession of twelve rulers from 1625 to 1900 and uses courtyards, earthen walls and polychrome bas-reliefs."
WA-S10,Oral heritage of Gelede,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/lists?RL=00002,heritage,2026-09-03,2,"Gelede is a Yoruba-Nago ceremony documented across Benin, Nigeria and Togo, combining carved masks, dance and Yoruba-language chants."
