stableId,version,countryScope,subregionScope,communityScope,category,difficulty,questionText,acceptedAnswer,lifecycleStatus,specialistReviewRequired,sensitivityNotes,sourceTitle,sourceUrl,humanDecision,humanReviewer,humanReviewDate,humanReviewNotes
west_ghana_kente_strip_construction,1,Ghana,Asante and Volta regions,Kente-producing communities,TEXTILES,introductory,How is a finished Ghanaian Kente cloth characteristically constructed?,Narrow woven strips are joined together,draft,no,,Craftsmanship of traditional woven textile Kente,https://ich.unesco.org/en/RL/craftsmanship-of-traditional-woven-textile-kente-02130,pending,,,
west_ghana_kente_learning,1,Ghana,,Kente weavers,TRADITION,intermediate,Which combination reflects documented ways Kente weaving knowledge is transmitted in Ghana?,"Families, apprenticeships and educational institutions",draft,no,,Craftsmanship of traditional woven textile Kente,https://ich.unesco.org/en/RL/craftsmanship-of-traditional-woven-textile-kente-02130,pending,,,
west_ghana_highlife_instruments,1,Ghana,,Highlife musicians,MUSIC,introductory,Which group of instruments fits UNESCO’s description of Ghanaian Highlife?,"Guitars, horns, drums, xylophones and percussion",draft,no,,Highlife music and dance,https://ich.unesco.org/en/RL/highlife-music-and-dance-02141,pending,,,
west_ghana_highlife_styles,1,Ghana,,Highlife musicians,MUSIC,intermediate,Which set names three documented styles of Ghanaian Highlife?,"Dance Band, Guitar Band and Burger",draft,no,,Highlife music and dance,https://ich.unesco.org/en/RL/highlife-music-and-dance-02141,pending,,,
west_ghana_asante_building_materials,1,Ghana,Near Kumasi,Asante communities,ART & HISTORY,advanced,Which materials characterize the surviving Asante Traditional Buildings near Kumasi?,"Timber, bamboo and mud plaster",draft,no,,Asante Traditional Buildings,https://whc.unesco.org/en/list/35/,pending,,,
west_ghana_asante_courtyard_reliefs,1,Ghana,Near Kumasi,Asante communities,ART,introductory,What is a documented feature of the Asante Traditional Buildings?,Courtyard plans with symbolic wall bas-reliefs,draft,no,,Asante Traditional Buildings,https://whc.unesco.org/en/list/35/,pending,,,
west_senegal_ceebu_origin,1,Senegal,Saint-Louis,Fishing communities of Saint-Louis,FOOD,intermediate,Where does UNESCO locate the origin of Senegal’s ceebu jën tradition?,Fishing communities on the Island of Saint-Louis,draft,no,,"Ceebu Jën, a culinary art of Senegal",https://ich.unesco.org/en/RL/ceebu-jen-a-culinary-art-of-senegal-01748,pending,,,
west_senegal_ceebu_core,1,Senegal,,,FOOD,introductory,Which pairing is typical at the centre of ceebu jën?,Fish and broken rice,draft,no,,"Ceebu Jën, a culinary art of Senegal",https://ich.unesco.org/en/RL/ceebu-jen-a-culinary-art-of-senegal-01748,pending,,,
west_senegal_ceebu_variation,1,Senegal,,,TRADITION,intermediate,Which statement best respects variation in ceebu jën practice?,"Recipes vary by region, household and occasion",draft,no,,"Ceebu Jën, a culinary art of Senegal",https://ich.unesco.org/en/RL/ceebu-jen-a-culinary-art-of-senegal-01748,pending,,,
west_senegambia_circle_groups,1,Senegal; Gambia,Senegambia,,GEOGRAPHY,advanced,Which pair includes only inscribed Stone Circles of Senegambia groups?,Wanar and Wassu,draft,no,,Stone Circles of Senegambia,https://whc.unesco.org/en/list/1226/,pending,,,
west_senegambia_circle_material,1,Senegal; Gambia,River Gambia corridor,,HISTORY,introductory,What material forms the standing pillars at the Stone Circles of Senegambia?,Laterite,draft,no,,Stone Circles of Senegambia,https://whc.unesco.org/en/list/1226/,pending,,,
west_senegambia_kankurang_scope,1,Senegal; Gambia,Casamance and Mbour,Manding communities,TRADITION,intermediate,Kankurang is documented as an initiatory rite of which cultural and geographic scope?,Manding communities in Senegal and The Gambia,draft,yes,Initiatory practice: specialist review by relevant community knowledge-holders is required; do not add restricted details.,"Kankurang, Manding initiatory rite",https://ich.unesco.org/en/RL/kankurang-manding-initiatory-rite-00143,pending,,,
west_senegambia_kankurang_review_boundary,1,Senegal; Gambia,Casamance and Mbour,Manding communities,TRADITION,introductory,What is the responsible approach when teaching publicly about Kankurang?,Use public community-approved material and omit restricted knowledge,draft,yes,Initiatory practice: specialist review by relevant community knowledge-holders is required; do not add restricted details.,"Kankurang, Manding initiatory rite",https://ich.unesco.org/en/RL/kankurang-manding-initiatory-rite-00143,pending,,,
west_cabo_verde_morna_forms,1,Cabo Verde,,Morna practitioners,MUSIC,intermediate,Which elements can come together in Cabo Verdean Morna?,"Voice, instrumental music, poetry and dance",draft,no,,"Morna, musical practice of Cabo Verde",https://ich.unesco.org/en/RL/morna-musical-practice-of-cabo-verde-01469,pending,,,
west_cabo_verde_morna_language,1,Cabo Verde,,Morna practitioners,LANGUAGE,advanced,"In which language are Morna lyrics mainly composed today, according to UNESCO?",Cabo Verdean Creole,draft,no,,"Morna, musical practice of Cabo Verde",https://ich.unesco.org/en/RL/morna-musical-practice-of-cabo-verde-01469,pending,,,
west_cabo_verde_morna_occasions,1,Cabo Verde,,Morna practitioners,MUSIC,introductory,At which occasions may Morna be performed in Cabo Verdean social life?,"Weddings, christenings and family reunions",draft,no,,"Morna, musical practice of Cabo Verde",https://ich.unesco.org/en/RL/morna-musical-practice-of-cabo-verde-01469,pending,,,
west_cabo_verde_cidade_velha_island,1,Cabo Verde,Santiago Island,,GEOGRAPHY,intermediate,On which Cabo Verdean island is Cidade Velha located?,Santiago,draft,no,,"Cidade Velha, Historic Centre of Ribeira Grande",https://whc.unesco.org/en/list/1310,pending,,,
west_cabo_verde_cidade_velha_history,1,Cabo Verde,Santiago Island,,MODERN HISTORY,introductory,Why does UNESCO treat Cidade Velha as central to Atlantic history?,"It records colonial trade, enslavement and the formation of an early Creole society",draft,yes,History of enslavement and colonial violence: trauma-informed Cabo Verdean historical review is required.,"Cidade Velha, Historic Centre of Ribeira Grande",https://whc.unesco.org/en/list/1310,pending,,,
west_benin_abomey_succession,1,Benin,Abomey,Aja-Fon cultural context,HISTORY,intermediate,What succession does UNESCO associate with the Royal Palaces of Abomey between 1625 and 1900?,Twelve kings of the Kingdom of Dahomey,draft,no,,Royal Palaces of Abomey,https://whc.unesco.org/en/list/323,pending,,,
west_benin_abomey_layout,1,Benin,Abomey,Aja-Fon cultural context,ART & HISTORY,advanced,Which feature is characteristic of the Royal Palaces of Abomey?,Palaces organized around successive courtyards,draft,no,,Royal Palaces of Abomey,https://whc.unesco.org/en/list/323,pending,,,
