sourceId,title,organisationOrAuthor,urlOrReference,sourceType,accessDate,candidateCount,relevantClaim
SA-S01,Dikopelo folk music of Bakgatla ba Kgafela in Kgatleng District,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/dikopelo-folk-music-of-bakgatla-ba-kgafela-in-kgatleng-district-01290,heritage,2026-09-06,4,"Dikopelo is communal vocal music and patterned choreography without instruments, transmitted across generations and adapted from farmland gatherings to village settings."
SA-S02,Earthenware pottery-making skills in Botswana's Kgatleng District,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/earthenware-pottery-making-skills-in-botswana-s-kgatleng-district-00753,heritage,2026-09-06,4,"Bakgatla ba Kgafela women hand-build pottery from local materials, fire it in pit kilns and transmit skills through observation and practice; the craft needs urgent safeguarding."
SA-S03,Seperu folkdance and associated practices,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/seperu-folkdance-and-associated-practices-01502,heritage,2026-09-06,4,"Veekuhane Seperu combines singing, dancing and sacred practices at important life milestones; public descriptions identify layered mushishi dresses and intergenerational transmission."
SA-S04,"Oshituthi shomagongo, marula fruit festival",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/oshituthi-shomagongo-marula-fruit-festival-01089,heritage,2026-09-06,4,"Eight Aawambo communities in northern Namibia prepare omagongo from marula fruit and gather for food, hospitality, songs, histories, dance and intergenerational learning."
SA-S05,"Aboxan Musik ǀŌb ǂÂns tsî ǁKhasigu, ancestral musical sound knowledge and skills",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/mbira-01540,heritage,2026-09-06,4,"Nama ancestral music uses instruments including khab, !guitsib and vlies with singing and Nama≠Nāb dance; UNESCO adopted the community-requested current name in 2023."
SA-S06,Twyfelfontein or /Ui-//aes,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1255,heritage,2026-09-06,4,Namibia's Twyfelfontein or /Ui-//aes preserves a major concentration of rock engravings and painted shelters linked to hunter-gatherer ritual and reliable water over at least two millennia.
SA-S07,Richtersveld Cultural and Botanical Landscape,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1265,heritage,2026-09-06,4,"The communally managed Richtersveld sustains Nama seasonal pastoralism, grazing, plant knowledge, oral traditions and portable mat-roofed |haru oms in north-west South Africa."
SA-S08,ǂKhomani Cultural Landscape,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1545,heritage,2026-09-06,4,"The ǂKhomani Cultural Landscape at South Africa's borders with Botswana and Namibia records long San presence, desert adaptation, ethnobotanical knowledge and language recovery."
SA-S09,Robben Island,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/916,heritage,2026-09-06,4,"Robben Island's surviving prison, hospital, military and religious buildings document a long history of isolation and the eventual triumph of democracy and freedom over oppression and racism."
SA-S10,"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1676,heritage,2026-09-06,4,"Fourteen South African places of memory connect the twentieth-century struggle against apartheid with human rights, liberation, reconciliation, non-racialism, Pan-Africanism and ubuntu."
SA-S11,Maloti-Drakensberg Park,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/985,heritage,2026-09-06,4,"The transboundary South Africa-Lesotho mountain property combines distinctive geology, biodiversity, watersheds and a dense record of San rock art created over four millennia."
SA-S12,Thaba-Bosiu National Monument,UNESCO World Heritage Centre,https://whc.unesco.org/en/tentativelists/5392,heritage,2026-09-06,4,"Lesotho's tentative-list monument is a plateau in the Phuthiatsana Valley about 23 kilometres south-east of Maseru, associated with Moshoeshoe I and Basotho nation-building from 1824."
SA-S13,Ngwenya Mines,UNESCO World Heritage Centre,https://whc.unesco.org/en/tentativelists/5421,heritage,2026-09-06,4,"Eswatini's tentative-list Ngwenya Mines preserve evidence of ancient red ochre and specularite extraction, later iron working and modern mining history in the Hhohho region."
SA-S14,Khami Ruins National Monument,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/365,heritage,2026-09-06,4,"Khami near Bulawayo was the Torwa dynasty's capital after Great Zimbabwe; its dry-stone platforms, decorated walls and imported objects document occupation from about 1450 to 1650."
SA-S15,Matobo Hills,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/306,heritage,2026-09-06,4,"Zimbabwe's Matobo Hills combine distinctive granite landforms, long human occupation, dense rock art and living sacred places that remain important to local communities."
SA-S16,Mosi-oa-Tunya / Victoria Falls,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/509,heritage,2026-09-06,4,"The Zambia-Zimbabwe transboundary property centres on the Zambezi River's great curtain of falling water, basalt gorges, spray-dependent ecology and jointly managed protected areas."
SA-S17,Mooba dance of the Lenje ethnic group of Central Province of Zambia,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/mooba-dance-of-the-lenje-ethnic-group-of-central-province-of-zambia-01372,heritage,2026-09-06,4,"Lenje Mooba is performed by women and men in Central, Copperbelt and Lusaka Provinces, combining dance, drumming, song and public social transmission with spiritual and healing meanings."
