stableId,version,countryScope,subregionScope,communityScope,category,difficulty,questionText,acceptedAnswer,lifecycleStatus,specialistReviewRequired,sensitivityNotes,sourceTitle,sourceUrl,humanDecision,humanReviewer,humanReviewDate,humanReviewNotes
north_algeria_ahellil_form,1,Algeria,Gourara,Zenete communities of Gourara,MUSIC,introductory,Which combination best describes Ahellil in Gourara?,"Poetry, polyphonic chant, music and dance",draft,yes,"Identity terminology and community scope require review by people from the named communities, including preferred names and spellings.",Ahellil of Gourara — UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/gelede-00121,pending,,,
north_algeria_ahellil_structure,1,Algeria,Gourara,Zenete communities of Gourara,ORAL HISTORY,intermediate,What is the order of the three named stages in an Ahellil performance?,"Lemserreh, aougrout, then tra",draft,yes,Oral tradition: community review is required and the narrative must not be reframed as independently verified chronology.,Ahellil of Gourara — UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/gelede-00121,pending,,,
north_algeria_imzad_instrument,1,Algeria; Mali; Niger,Sahara and Sahel,Tuareg communities,MUSIC,introductory,What type of instrument is the Imzad?,A single-string bowed instrument,draft,yes,"Identity terminology and community scope require review by people from the named communities, including preferred names and spellings.","Practices and knowledge linked to the Imzad of the Tuareg communities of Algeria, Mali and Niger — UNESCO Intangible Cultural Heritage",https://ich.unesco.org/en/RL/practices-and-knowledge-linked-to-the-imzad-of-the-tuareg-communities-of-algeria-mali-and-niger-00891,pending,,,
north_algeria_imzad_making,1,Algeria; Mali; Niger,Sahara and Sahel,Tuareg communities,ART,intermediate,Which object forms the body of an Imzad in UNESCO's description?,Half of a dried hollow gourd covered with skin,draft,yes,Gendered practice or space: community review must confirm respectful wording and avoid presenting a documented role as fixed or universal.,"Practices and knowledge linked to the Imzad of the Tuareg communities of Algeria, Mali and Niger — UNESCO Intangible Cultural Heritage",https://ich.unesco.org/en/RL/practices-and-knowledge-linked-to-the-imzad-of-the-tuareg-communities-of-algeria-mali-and-niger-00891,pending,,,
north_algeria_sebeiba_timing,1,Algeria,Djanet oasis,Tuareg communities of Djanet,TRADITION,advanced,What happens immediately before the main Sebeïba ritual day?,A nine-day contest called Timoulawine,draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,"Ritual and ceremonies of Sebeïba in the oasis of Djanet, Algeria — UNESCO Intangible Cultural Heritage",https://ich.unesco.org/en/RL/ritual-and-ceremonies-of-sebeiba-in-the-oasis-of-djanet-algeria-00665,pending,,,
north_algeria_sebeiba_purpose,1,Algeria,Djanet oasis,Tuareg communities of Djanet,MUSIC,introductory,How does UNESCO describe Sebeïba's treatment of rivalry?,It symbolically moves potential violence into artistic competition,draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,"Ritual and ceremonies of Sebeïba in the oasis of Djanet, Algeria — UNESCO Intangible Cultural Heritage",https://ich.unesco.org/en/RL/ritual-and-ceremonies-of-sebeiba-in-the-oasis-of-djanet-algeria-00665,pending,,,
north_algeria_foggara_roles,1,Algeria,Touat and Tidikelt,Saharan ksour communities,TRADITION,intermediate,Which task belongs to foggara water measurers?,Calculating water shares,draft,yes,Living environmental knowledge and resource use require local practitioner and conservation review before progression.,Knowledge and skills of the water measurers of the foggaras or water bailiffs of Touat and Tidikelt — UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/knowledge-and-skills-of-the-water-measurers-of-the-foggaras-or-water-bailiffs-of-touat-and-tidikelt-01274,pending,,,
north_algeria_foggara_status,1,Algeria,Touat and Tidikelt,Saharan ksour communities,MODERN HISTORY,introductory,Why is foggara water-measuring knowledge on UNESCO's urgent safeguarding list?,Few younger practitioners are learning the threatened knowledge,draft,yes,Living environmental knowledge and resource use require local practitioner and conservation review before progression.,Knowledge and skills of the water measurers of the foggaras or water bailiffs of Touat and Tidikelt — UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/knowledge-and-skills-of-the-water-measurers-of-the-foggaras-or-water-bailiffs-of-touat-and-tidikelt-01274,pending,,,
north_algeria_mzab_number,1,Algeria,M'Zab Valley,M'Zab valley communities,GEOGRAPHY,intermediate,How many fortified settlements form the historic M'Zab Valley ensemble?,Five,draft,yes,"Identity terminology and community scope require review by people from the named communities, including preferred names and spellings.",M'Zab Valley — UNESCO World Heritage Centre,https://whc.unesco.org/en/list/188,pending,,,
north_algeria_mzab_design,1,Algeria,M'Zab Valley,M'Zab valley communities,ART & HISTORY,advanced,What shaped the compact architecture of the M'Zab settlements?,Communal organization and adaptation to a Saharan environment,draft,yes,"Identity terminology and community scope require review by people from the named communities, including preferred names and spellings.",M'Zab Valley — UNESCO World Heritage Centre,https://whc.unesco.org/en/list/188,pending,,,
