sourceId,title,organisationOrAuthor,urlOrReference,sourceType,accessDate,candidateCount,relevantClaim
NA-S01,Ahellil of Gourara — UNESCO Intangible Cultural Heritage,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/gelede-00121,heritage,2026-09-06,2,"Ahellil is a Zenete poetic and musical genre of Gourara combining poetry, polyphonic chant, music and dance in a three-part performance."
NA-S02,"Practices and knowledge linked to the Imzad of the Tuareg communities of Algeria, Mali and Niger — UNESCO Intangible Cultural Heritage",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/practices-and-knowledge-linked-to-the-imzad-of-the-tuareg-communities-of-algeria-mali-and-niger-00891,heritage,2026-09-06,2,"Tuareg women play and make the single-string bowed Imzad, which accompanies poetry and songs and is transmitted through observation and assimilation."
NA-S03,"Ritual and ceremonies of Sebeïba in the oasis of Djanet, Algeria — UNESCO Intangible Cultural Heritage",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/ritual-and-ceremonies-of-sebeiba-in-the-oasis-of-djanet-algeria-00665,heritage,2026-09-06,2,"Two Djanet communities hold a nine-day Timoulawine contest before Sebeïba, where male dancers and female singers turn rivalry into artistic competition."
NA-S04,Knowledge and skills of the water measurers of the foggaras or water bailiffs of Touat and Tidikelt — UNESCO Intangible Cultural Heritage,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/knowledge-and-skills-of-the-water-measurers-of-the-foggaras-or-water-bailiffs-of-touat-and-tidikelt-01274,heritage,2026-09-06,2,"Water measurers in Touat and Tidikelt calculate shares, repair distribution combs and conduct water through foggara channels for Saharan ksour communities."
NA-S05,M'Zab Valley — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/188,heritage,2026-09-06,2,"The M'Zab Valley contains five fortified settlements, or ksour, whose compact architecture and communal organization were adapted to a Saharan environment."
NA-S06,Tipasa — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/193,heritage,2026-09-06,2,"Tipasa combines Phoenician, Roman, early Christian and Byzantine remains with Indigenous monuments, documenting long contact in the Maghreb."
NA-S07,Gnawa — UNESCO Intangible Cultural Heritage,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/gnawa-01170,heritage,2026-09-06,2,"Moroccan Gnawa includes music, performances, fraternal practices and therapeutic rituals shaped by histories of slavery and African, Arab-Muslim and Amazigh influences."
NA-S08,Tbourida — UNESCO Intangible Cultural Heritage,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/tbourida-01483,heritage,2026-09-06,2,Tbourida is a Moroccan equestrian performance in which an odd-numbered troupe of fifteen to twenty-five riders simulates military parades.
NA-S09,"Malhun, a popular poetic and musical art — UNESCO Intangible Cultural Heritage",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/malhun-a-popular-poetic-and-musical-art-01592,heritage,2026-09-06,2,"Moroccan malhun sets dialectal Arabic and sometimes Hebrew verse to lute, violin, rebab and small drums, addressing varied social and poetic themes."
NA-S10,"Argan, practices and know-how concerning the argan tree — UNESCO Intangible Cultural Heritage",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/argan-practices-and-know-how-concerning-the-argan-tree-00955,heritage,2026-09-06,2,"Rural communities of southwest Morocco use multiple hand processes to extract argan oil, with knowledge often transmitted by women through practice."
NA-S11,Cultural space of Jemaa el-Fna Square — UNESCO Intangible Cultural Heritage,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/cultural-space-of-jemaa-el-fna-square-00014,heritage,2026-09-06,2,"Jemaa el-Fna is a Marrakesh meeting place where commerce, storytelling, poetry, music and other public expressions continue through adaptation and improvisation."
NA-S12,Medina of Fez — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/170,heritage,2026-09-06,2,"Founded in the ninth century, Fez reached a high point under the Marinids and preserves madrasas, fondouks, palaces, residences, mosques and fountains."
NA-S13,"Harissa, knowledge, skills and culinary and social practices — UNESCO Intangible Cultural Heritage",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/harissa-knowledge-skills-and-culinary-and-social-practices-01710,heritage,2026-09-06,2,"Tunisian harissa is made by drying, preparing and grinding chillies before seasoning them with salt, garlic and coriander and storing the paste."
NA-S14,Pottery skills of the women of Sejnane — UNESCO Intangible Cultural Heritage,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/pottery-skills-of-the-women-of-sejnane-01406,heritage,2026-09-06,2,Women of Sejnane make hand-shaped terracotta household wares and figurines from local clay and decorate them with two-tone geometric patterns.
NA-S15,Charfia fishing in the Kerkennah Islands — UNESCO Intangible Cultural Heritage,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/charfia-fishing-in-the-kerkennah-islands-01566,heritage,2026-09-06,2,"Kerkennah charfia uses palm-frond barriers, ebb tides and seabed knowledge to guide live fish into chambers and traps during a seasonal fishing period."
NA-S16,Djerba: Testimony to a settlement pattern in an island territory — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1640,heritage,2026-09-06,2,"Djerba's low-density settlement linked self-sustaining neighbourhoods, family estates, worship sites and markets in adaptation to a water-scarce island."
NA-S17,Archaeological Site of Carthage — UNESCO World Heritage Centre,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/37,heritage,2026-09-06,2,"Carthage began as a Phoenician foundation, became a Mediterranean trading power and was rebuilt by Rome after its destruction in 146 BCE."
