stableId,version,countryScope,subregionScope,communityScope,category,difficulty,questionText,acceptedAnswer,lifecycleStatus,specialistReviewRequired,sensitivityNotes,sourceTitle,sourceUrl,humanDecision,humanReviewer,humanReviewDate,humanReviewNotes
east_ethiopia_gada_rotation,1,Ethiopia,Oromia,Oromo communities,HISTORY,introductory,How often does leadership rotate within the Gada system described by UNESCO?,Every eight years,draft,yes,Living governance or customary-law system: specialist community and legal-historical review is required; do not generalize it beyond the named communities.,"Gada system, an indigenous democratic socio-political system of the Oromo",https://ich.unesco.org/en/RL/gada-system-an-indigenous-democratic-socio-political-system-of-the-oromo-01164,pending,,,
east_ethiopia_gada_classes,1,Ethiopia,Oromia,Oromo communities,TRADITION,intermediate,Which description fits the Oromo Gada system?,"Five classes progress through grades, with one class serving in authority",draft,yes,Living governance or customary-law system: specialist community and legal-historical review is required; do not generalize it beyond the named communities.,"Gada system, an indigenous democratic socio-political system of the Oromo",https://ich.unesco.org/en/RL/gada-system-an-indigenous-democratic-socio-political-system-of-the-oromo-01164,pending,,,
east_ethiopia_fichee_food,1,Ethiopia,Sidama Region,Sidama people,FOOD,introductory,"Which ingredients does UNESCO name in buurisame, shared during Fichee-Chambalaalla?","False banana, milk and butter",draft,no,,"Fichee-Chambalaalla, New Year festival of the Sidama people",https://ich.unesco.org/en/RL/fichee-chambalaalla-new-year-festival-of-the-sidama-people-01054,pending,,,
east_ethiopia_fichee_date,1,Ethiopia,Sidama Region,Sidama people,TRADITION,intermediate,How is the date of Fichee-Chambalaalla determined?,Astrologers use traditional calendrical knowledge before the date is announced to clans,draft,no,,"Fichee-Chambalaalla, New Year festival of the Sidama people",https://ich.unesco.org/en/RL/fichee-chambalaalla-new-year-festival-of-the-sidama-people-01054,pending,,,
east_ethiopia_epiphany_ketera,1,Ethiopia,,Ethiopian Orthodox Christian communities,TRADITION,advanced,What does Ketera refer to in the Ethiopian Epiphany commemoration?,The eve on 18 January when parish tabots are escorted toward water,draft,yes,Living religious practice: review by practitioners from the named community is required before progression beyond draft.,Ethiopian epiphany,https://ich.unesco.org/en/RL/ethiopian-epiphany-01491,pending,,,
east_ethiopia_epiphany_return,1,Ethiopia,,Ethiopian Orthodox Christian communities,TRADITION,introductory,What happens after the morning water ceremonies of Ethiopian Epiphany?,Each tabot returns in procession to its parish church,draft,yes,Living religious practice: review by practitioners from the named community is required before progression beyond draft.,Ethiopian epiphany,https://ich.unesco.org/en/RL/ethiopian-epiphany-01491,pending,,,
east_ethiopia_shuwalid_duration,1,Ethiopia,Harari Region,Harari people,TRADITION,intermediate,How long is the annual Shuwalid festival described by UNESCO?,Three days,draft,yes,Living religious practice: review by practitioners from the named community is required before progression beyond draft.,Shuwalid festival,https://ich.unesco.org/en/RL/shuwalid-festival-01845,pending,,,
east_ethiopia_shuwalid_context,1,Ethiopia,Harar Jugol,Harari people,MUSIC,introductory,Which activities form part of the public description of Shuwalid?,"Supplications, spiritual songs, scripture reading, music and dance",draft,yes,Living religious practice: review by practitioners from the named community is required before progression beyond draft.,Shuwalid festival,https://ich.unesco.org/en/RL/shuwalid-festival-01845,pending,,,
east_ethiopia_konso_terraces,1,Ethiopia,Konso highlands,Konso communities,GEOGRAPHY,intermediate,What do the dry-stone terraces of the Konso Cultural Landscape help do?,"Retain soil, collect water and release excess water",draft,no,,Konso Cultural Landscape,https://whc.unesco.org/en/list/1333,pending,,,
east_ethiopia_konso_moras,1,Ethiopia,Konso highlands,Konso communities,ART & HISTORY,advanced,What are moras in the Konso Cultural Landscape?,Central cultural spaces inside the walled towns,draft,no,,Konso Cultural Landscape,https://whc.unesco.org/en/list/1333,pending,,,
east_ethiopia_harar_counts,1,Ethiopia,Harari Region,Harari communities,ART & HISTORY,introductory,Which pair matches UNESCO's count for Harar Jugol?,82 mosques and 102 shrines,draft,yes,Sacred or custodial heritage: use only public source material and require review by the relevant community knowledge-holders.,"Harar Jugol, the Fortified Historic Town",https://whc.unesco.org/en/list/1189,pending,,,
east_ethiopia_harar_houses,1,Ethiopia,Harari Region,Harari communities,ART & HISTORY,intermediate,What later influence did Indian merchants add to Harar's townhouse landscape?,Houses with wooden verandas,draft,no,,"Harar Jugol, the Fortified Historic Town",https://whc.unesco.org/en/list/1189,pending,,,
east_horn_xeer_components,1,Ethiopia; Djibouti; Somalia,Horn of Africa,Somali-Issa communities,TRADITION,introductory,Which set names the three main components of Xeer Ciise in UNESCO's description?,"A political constitution, a penal code and a code of social conduct",draft,yes,Living governance or customary-law system: specialist community and legal-historical review is required; do not generalize it beyond the named communities.,"Xeer Ciise: Oral customary laws of Somali-Issa communities in Ethiopia, Djibouti and Somalia",https://ich.unesco.org/en/RL/xeer-ciise-oral-customary-laws-of-somali-issa-communities-in-ethiopia-djibouti-and-somalia-02087,pending,,,
east_horn_xeer_transmission,1,Ethiopia; Djibouti; Somalia,Horn of Africa,Somali-Issa communities,ORAL HISTORY,intermediate,Which forms help transmit Xeer Ciise?,"Tales, proverbs, games, poetry and formal learning",draft,yes,Living governance or customary-law system: specialist community and legal-historical review is required; do not generalize it beyond the named communities.,"Xeer Ciise: Oral customary laws of Somali-Issa communities in Ethiopia, Djibouti and Somalia",https://ich.unesco.org/en/RL/xeer-ciise-oral-customary-laws-of-somali-issa-communities-in-ethiopia-djibouti-and-somalia-02087,pending,,,
east_kenya_isukuti_drums,1,Kenya,Western Kenya,Isukha and Idakho communities,MUSIC,advanced,How are the drums commonly grouped in Isukuti performance?,"As a set of big, medium and small drums",draft,no,,Isukuti dance of Isukha and Idakho communities of Western Kenya,https://ich.unesco.org/en/RL/isukuti-dance-of-isukha-and-idakho-communities-of-western-kenya-00981,pending,,,
east_kenya_isukuti_occasions,1,Kenya,Western Kenya,Isukha and Idakho communities,TRADITION,introductory,Which statement best describes the occasions for Isukuti?,"It appears across celebrations and life events, with context varying by occasion",draft,no,,Isukuti dance of Isukha and Idakho communities of Western Kenya,https://ich.unesco.org/en/RL/isukuti-dance-of-isukha-and-idakho-communities-of-western-kenya-00981,pending,,,
east_kenya_mijikenda_extent,1,Kenya,Coastal Kenya,Mijikenda communities,GEOGRAPHY,intermediate,What does the World Heritage property called the Sacred Mijikenda Kaya Forests comprise?,Ten forest sites spread along roughly 200 kilometres of coast,draft,yes,Sacred or custodial heritage: use only public source material and require review by the relevant community knowledge-holders.,Sacred Mijikenda Kaya Forests,https://whc.unesco.org/en/list/1231,pending,,,
east_kenya_mijikenda_meaning,1,Kenya,Coastal Kenya,Mijikenda communities,TRADITION,introductory,Why are the kaya forest sites treated with special care today?,They are regarded as sacred ancestral places maintained through community custodianship,draft,yes,Sacred or custodial heritage: use only public source material and require review by the relevant community knowledge-holders.,Sacred Mijikenda Kaya Forests,https://whc.unesco.org/en/list/1231,pending,,,
east_kenya_lamu_materials,1,Kenya,Lamu archipelago,Swahili communities of Lamu,ART & HISTORY,intermediate,Which materials characterize Lamu Old Town's traditional buildings?,Coral stone and mangrove timber,draft,no,,Lamu Old Town,https://whc.unesco.org/en/list/1055/,pending,,,
east_kenya_lamu_features,1,Kenya,Lamu archipelago,Swahili communities of Lamu,ART,advanced,Which group contains architectural features associated with Lamu Old Town?,"Inner courtyards, verandas and carved wooden doors",draft,no,,Lamu Old Town,https://whc.unesco.org/en/list/1055/,pending,,,
east_kenya_foodways_plants,1,Kenya,,Participating Kenyan food-knowledge communities,FOOD,introductory,About how many indigenous plants with local names were recorded in Kenya's traditional-food safeguarding initiative?,About 850,draft,no,,Success story of promoting traditional foods and safeguarding traditional foodways in Kenya,https://ich.unesco.org/en/BSP/success-story-of-promoting-traditional-foods-and-safeguarding-traditional-foodways-in-kenya-01409,pending,,,
east_kenya_foodways_youth,1,Kenya,Western and Rift Valley pilot communities,Isukha and East Pokot participants,MODERN HISTORY,intermediate,What role did schoolchildren have in the Kenyan foodways safeguarding work?,They helped document community food knowledge through guided interviews and inventorying,draft,no,,Success story of promoting traditional foods and safeguarding traditional foodways in Kenya,https://ich.unesco.org/en/BSP/success-story-of-promoting-traditional-foods-and-safeguarding-traditional-foodways-in-kenya-01409,pending,,,
east_uganda_barkcloth_tree,1,Uganda,"Buganda, southern Uganda",Baganda communities,TEXTILES,introductory,From which tree does the Uganda barkcloth tradition take its inner bark?,The Mutuba tree (Ficus natalensis),draft,no,,Barkcloth making in Uganda,https://ich.unesco.org/en/RL/barkcloth-making-in-uganda-00139,pending,,,
east_uganda_barkcloth_process,1,Uganda,"Buganda, southern Uganda",Baganda barkcloth makers,TEXTILES,intermediate,What is central to turning Mutuba bark into barkcloth?,Repeated beating with different wooden mallets,draft,no,,Barkcloth making in Uganda,https://ich.unesco.org/en/RL/barkcloth-making-in-uganda-00139,pending,,,
east_uganda_bigwala_hocket,1,Uganda,Busoga,Basoga communities,MUSIC,advanced,How do Bigwala's monotone gourd trumpets form a melody?,Players interlock single tones in hocket,draft,no,,"Bigwala, gourd trumpet music and dance of the Busoga Kingdom in Uganda",https://ich.unesco.org/en/USL/bigwala-gourd-trumpet-music-and-dance-of-the-busoga-kingdom-in-uganda-00749,pending,,,
east_uganda_bigwala_sequence,1,Uganda,Busoga,Basoga communities,MUSIC,introductory,Which order reflects the typical build-up of a Bigwala performance?,"One trumpet, more trumpets, then drummers, singers and dancers",draft,no,,"Bigwala, gourd trumpet music and dance of the Busoga Kingdom in Uganda",https://ich.unesco.org/en/USL/bigwala-gourd-trumpet-music-and-dance-of-the-busoga-kingdom-in-uganda-00749,pending,,,
east_uganda_empaako_count,1,Uganda,Western Uganda,"Batooro, Banyoro, Batuku, Batagwenda and Banyabindi communities",LANGUAGE,intermediate,How many shared Empaako names are used in addition to given and family names?,Twelve,draft,yes,Language form and social context require review by fluent Kiswahili speakers from relevant East African communities.,"Empaako tradition of the Batooro, Banyoro, Batuku, Batagwenda and Banyabindi of western Uganda",https://ich.unesco.org/en/USL/empaako-tradition-of-the-batooro-banyoro-batuku-batagwenda-and-banyabindi-of-western-uganda-00904,pending,,,
east_uganda_empaako_social,1,Uganda,Western Uganda,"Batooro, Banyoro, Batuku, Batagwenda and Banyabindi communities",TRADITION,introductory,What can addressing someone by an Empaako communicate?,"Affection, respect or social connection",draft,yes,Language form and social context require review by fluent Kiswahili speakers from relevant East African communities.,"Empaako tradition of the Batooro, Banyoro, Batuku, Batagwenda and Banyabindi of western Uganda",https://ich.unesco.org/en/USL/empaako-tradition-of-the-batooro-banyoro-batuku-batagwenda-and-banyabindi-of-western-uganda-00904,pending,,,
