stableId,version,countryScope,subregionScope,communityScope,category,difficulty,questionText,acceptedAnswer,lifecycleStatus,specialistReviewRequired,sensitivityNotes,sourceTitle,sourceUrl,humanDecision,humanReviewer,humanReviewDate,humanReviewNotes
south_bw_dikopelo_form,1,Botswana,Kgatleng District,Bakgatla ba Kgafela communities,MUSIC,introductory,Which description best fits Dikopelo music?,Choir singing with patterned dance and no instruments,draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,Dikopelo folk music of Bakgatla ba Kgafela in Kgatleng District,https://ich.unesco.org/en/USL/dikopelo-folk-music-of-bakgatla-ba-kgafela-in-kgatleng-district-01290,pending,,,
south_bw_dikopelo_members,1,Botswana,Kgatleng District,Bakgatla ba Kgafela communities,TRADITION,intermediate,Who participates in Dikopelo in UNESCO's account?,"Men, women and children",draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,Dikopelo folk music of Bakgatla ba Kgafela in Kgatleng District,https://ich.unesco.org/en/USL/dikopelo-folk-music-of-bakgatla-ba-kgafela-in-kgatleng-district-01290,pending,,,
south_bw_dikopelo_origins,1,Botswana,Kgatleng District,Bakgatla ba Kgafela communities,HISTORY,introductory,In what setting did Dikopelo develop as a communal event?,On farmlands,draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,Dikopelo folk music of Bakgatla ba Kgafela in Kgatleng District,https://ich.unesco.org/en/USL/dikopelo-folk-music-of-bakgatla-ba-kgafela-in-kgatleng-district-01290,pending,,,
south_bw_dikopelo_today,1,Botswana,Kgatleng District,Bakgatla ba Kgafela communities,MODERN HISTORY,intermediate,What contemporary aim is linked to Dikopelo revival efforts?,Sharing positive community messages with young people,draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,Dikopelo folk music of Bakgatla ba Kgafela in Kgatleng District,https://ich.unesco.org/en/USL/dikopelo-folk-music-of-bakgatla-ba-kgafela-in-kgatleng-district-01290,pending,,,
south_bw_pottery_method,1,Botswana,Kgatleng District,Bakgatla ba Kgafela women potters,ART,advanced,How are Kgatleng earthenware pots formed?,They are hand-built from the base to the rim,draft,yes,"Gendered roles are source-specific descriptions, not universal rules; require locally grounded, gender-aware review.",Earthenware pottery-making skills in Botswana's Kgatleng District,https://ich.unesco.org/en/USL/earthenware-pottery-making-skills-in-botswana-s-kgatleng-district-00753,pending,,,
south_bw_pottery_firing,1,Botswana,Kgatleng District,Bakgatla ba Kgafela women potters,ART,introductory,Where are the decorated Kgatleng pots fired?,In a pit kiln,draft,yes,Living cultural practice: require review by practitioners from the named community and do not generalize beyond the documented scope.,Earthenware pottery-making skills in Botswana's Kgatleng District,https://ich.unesco.org/en/USL/earthenware-pottery-making-skills-in-botswana-s-kgatleng-district-00753,pending,,,
south_bw_pottery_materials,1,Botswana,Kgatleng District,Bakgatla ba Kgafela women potters,ART,intermediate,Which material is documented in the Kgatleng pottery process?,Weathered sandstone,draft,yes,Environmental knowledge and protected-area framing require local and Indigenous rights review alongside conservation evidence.,Earthenware pottery-making skills in Botswana's Kgatleng District,https://ich.unesco.org/en/USL/earthenware-pottery-making-skills-in-botswana-s-kgatleng-district-00753,pending,,,
south_bw_pottery_transmission,1,Botswana,Kgatleng District,Bakgatla ba Kgafela women potters,TRADITION,introductory,How have Kgatleng pottery skills traditionally passed between generations?,Through observation and practice,draft,yes,"Gendered roles are source-specific descriptions, not universal rules; require locally grounded, gender-aware review.",Earthenware pottery-making skills in Botswana's Kgatleng District,https://ich.unesco.org/en/USL/earthenware-pottery-making-skills-in-botswana-s-kgatleng-district-00753,pending,,,
south_bw_seperu_elements,1,Botswana,Chobe District,Veekuhane communities,MUSIC,intermediate,Which arts are part of public descriptions of Seperu?,Singing and dancing,draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,Seperu folkdance and associated practices,https://ich.unesco.org/en/USL/seperu-folkdance-and-associated-practices-01502,pending,,,
south_bw_seperu_milestones,1,Botswana,Chobe District,Veekuhane communities,TRADITION,advanced,When is Seperu performed according to UNESCO?,At ceremonies marking important life milestones,draft,yes,Sacred or restricted material: retain only public-source detail and require community knowledge-holder review before any progression.,Seperu folkdance and associated practices,https://ich.unesco.org/en/USL/seperu-folkdance-and-associated-practices-01502,pending,,,
