sourceId,title,organisationOrAuthor,urlOrReference,sourceType,accessDate,candidateCount,relevantClaim
EA-S01,"Gada system, an indigenous democratic socio-political system of the Oromo",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/gada-system-an-indigenous-democratic-socio-political-system-of-the-oromo-01164,heritage,2026-09-06,2,"Gada is an Oromo governance system with five classes, rotating leadership every eight years, oral teaching and responsibilities that include conflict resolution."
EA-S02,"Fichee-Chambalaalla, New Year festival of the Sidama people",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/fichee-chambalaalla-new-year-festival-of-the-sidama-people-01054,heritage,2026-09-06,2,"The Sidama New Year date is determined through traditional calendrical knowledge, and buurisame combines false banana, milk and butter."
EA-S03,Ethiopian epiphany,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/ethiopian-epiphany-01491,heritage,2026-09-06,2,The Ethiopian Epiphany commemoration begins with Ketera on 18 January and includes escorting parish tabots to water before their return.
EA-S04,Shuwalid festival,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/shuwalid-festival-01845,heritage,2026-09-06,2,"Shuwalid is a three-day Harari festival marking the end of six compensatory fasting days, with public religious and cultural activities."
EA-S05,Konso Cultural Landscape,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1333,heritage,2026-09-06,2,"The Konso landscape combines dry-stone agricultural terraces, fortified settlements, communal cultural spaces and generation-marking stones."
EA-S06,"Harar Jugol, the Fortified Historic Town",UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1189,heritage,2026-09-06,2,"Harar Jugol preserves a walled urban plan, mosques, shrines and distinctive Harari and Indian-influenced townhouses."
EA-S07,"Xeer Ciise: Oral customary laws of Somali-Issa communities in Ethiopia, Djibouti and Somalia",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/xeer-ciise-oral-customary-laws-of-somali-issa-communities-in-ethiopia-djibouti-and-somalia-02087,heritage,2026-09-06,2,"Xeer Ciise is a Somali-Issa oral customary-law system spanning Ethiopia, Djibouti and Somalia, with political, justice and social-conduct components."
EA-S08,Isukuti dance of Isukha and Idakho communities of Western Kenya,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/isukuti-dance-of-isukha-and-idakho-communities-of-western-kenya-00981,heritage,2026-09-06,2,"Isukuti is an Isukha and Idakho celebratory dance using three sizes of drums, singing, an antelope horn and metal rattles."
EA-S09,Sacred Mijikenda Kaya Forests,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1231,heritage,2026-09-06,2,Ten forest sites along about 200 kilometres of Kenya's coast contain kaya settlement remains and remain sacred to Mijikenda communities.
EA-S10,Lamu Old Town,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1055/,heritage,2026-09-06,2,"Lamu is a long-lived Swahili settlement built largely from coral stone and mangrove timber, with courtyards, verandas and carved doors."
EA-S11,Success story of promoting traditional foods and safeguarding traditional foodways in Kenya,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/BSP/success-story-of-promoting-traditional-foods-and-safeguarding-traditional-foodways-in-kenya-01409,heritage,2026-09-06,2,"Kenyan community, museum and school partnerships documented local foodways, including about 850 indigenous plants with local names."
EA-S12,Barkcloth making in Uganda,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/barkcloth-making-in-uganda-00139,heritage,2026-09-06,2,Baganda barkcloth makers process the inner bark of the Mutuba tree with wooden mallets in a practice predating weaving.
EA-S13,"Bigwala, gourd trumpet music and dance of the Busoga Kingdom in Uganda",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/bigwala-gourd-trumpet-music-and-dance-of-the-busoga-kingdom-in-uganda-00749,heritage,2026-09-06,2,"Basoga Bigwala uses five or more single-tone gourd trumpets played in hocket, joined in sequence by drums, song and dance."
EA-S14,"Empaako tradition of the Batooro, Banyoro, Batuku, Batagwenda and Banyabindi of western Uganda",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/empaako-tradition-of-the-batooro-banyoro-batuku-batagwenda-and-banyabindi-of-western-uganda-00904,heritage,2026-09-06,2,"Empaako adds one of twelve shared names to personal and family names and can affirm respect, affection, identity and reconciliation."
EA-S15,"Koogere oral tradition of the Basongora, Banyabindi and Batooro peoples",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/koogere-oral-tradition-of-the-basongora-banyabindi-and-batooro-peoples-00911,heritage,2026-09-06,2,"Koogere narratives preserve collective memory of a female Busongora chief and are shared through storytelling, song and collective activity."
EA-S16,Ma'di bowl lyre music and dance,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/ma-di-bowl-lyre-music-and-dance-01187,heritage,2026-09-06,2,"Ma'di bowl-lyre music and dance serves weddings, harvests, education, conflict resolution and mourning while supporting family and clan ties."
EA-S17,Stone Town of Zanzibar,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/173,heritage,2026-09-06,2,"Stone Town on Unguja is a Swahili trading town whose built fabric reflects African, Arab, Indian and European cultural encounters."
EA-S18,Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/144,heritage,2026-09-06,2,"The two island ports preserve coral-built evidence of Swahili culture and Indian Ocean trade linking East Africa with Arabia, India and China."
EA-S19,Kiswahili Lessons,University of Kansas African & African-American Studies,https://kiswahili.ku.edu/lessons,academic,2026-09-06,2,The university resource documents Kiswahili as a regional lingua franca and provides greeting-and-response forms for contextual language learning.
EA-S20,Intore,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/intore-02129,heritage,2026-09-06,2,"Rwandan Intore troupes evoke ranked warriors through movement, shields, spears, drums, horns, song and poetry, with broad modern transmission."
EA-S21,Ritual dance of the royal drum,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/ritual-dance-of-the-royal-drum-00989,heritage,2026-09-06,2,"Burundi's royal-drum dance combines synchronized drumming, dance, poetry and song, arranging an odd number of drums around a central drum."
EA-S22,Woodcrafting knowledge of the Zafimaniry,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/woodcrafting-knowledge-of-the-zafimaniry-00080,heritage,2026-09-06,2,"Zafimaniry buildings use mortise-and-tenon joinery without metal hardware, while codified geometric motifs express community meanings."
EA-S23,"Malagasy Kabary, the Malagasy oratorical art",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/malagasy-kabary-the-malagasy-oratorical-art-01741,heritage,2026-09-06,2,"Malagasy kabary is structured public oratory using proverbs, maxims, rhetoric and wordplay, often as a dialogue between two speakers."
EA-S24,"Hiragasy, a performing art of the Central Highlands of Madagascar",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/hiragasy-a-performing-art-of-the-central-highlands-of-madagascar-01740,heritage,2026-09-06,2,"Hiragasy combines song, dance and speech in public performances that commonly involve two troupes and transmit moral, civic and cultural themes."
EA-S25,"Nsima, culinary tradition of Malawi",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/nsima-culinary-tradition-of-malawi-01292,heritage,2026-09-06,2,"Nsima names both a Malawian culinary tradition and its thick maize-flour porridge component, prepared and eaten through communal practices."
EA-S26,Vimbuza healing dance,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/vimbuza-healing-dance-00158,heritage,2026-09-06,2,"Vimbuza is a Tumbuka healing dance of northern Malawi combining community singing, spirit-specific drumming and therapeutic ritual."
EA-S27,"Tchopa, sacrificial dance of the Lhomwe people of southern Malawi",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/tchopa-sacrificial-dance-of-the-lhomwe-people-of-southern-malawi-00999,heritage,2026-09-06,2,"Lhomwe Tchopa uses song, three drum sizes and circular dance at harvest celebrations and specified ceremonial occasions."
EA-S28,"Art of crafting and playing Mbira/Sansi, the finger-plucking traditional musical instrument in Malawi and Zimbabwe",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/art-of-crafting-and-playing-mbira-sansi-the-finger-plucking-traditional-musical-instrument-in-malawi-and-zimbabwe-01541,heritage,2026-09-06,2,"Mbira/Sansi uses metal keys on a wooden board, sometimes with a resonator, and produces cyclical music with interwoven melodies."
EA-S29,Mbende Jerusarema dance,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/mbende-jerusarema-dance-00169,heritage,2026-09-06,2,"Mbende Jerusarema is a Zezuru Shona dance of eastern Zimbabwe accompanied by one master drummer, clappers, handclaps, yodelling and whistles."
EA-S30,Great Zimbabwe National Monument,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/364,heritage,2026-09-06,2,Great Zimbabwe covers nearly 80 hectares and bears testimony to Shona civilisation and an important trading centre between the eleventh and fifteenth centuries.
EA-S31,Chopi Timbila,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/chopi-timbila-00133,heritage,2026-09-06,2,Chopi orchestras in southern Mozambique use five to thirty tuned wooden timbila with calabash resonators and compose new pieces for community events.
EA-S32,Ingoma Ya Mapiko,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/USL/ingoma-ya-mapiko-01996,heritage,2026-09-06,2,"Makonde Ingoma Ya Mapiko is a masked dance associated with initiation and other public occasions, accompanied by drums and a responsive choir."
EA-S33,"Bhojpuri folk songs in Mauritius, Geet-Gawai",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/bhojpuri-folk-songs-in-mauritius-geet-gawai-01178,heritage,2026-09-06,2,"Mauritian Geet-Gawai is a Bhojpuri-speaking community pre-wedding practice combining ritual, prayer, song, music and dance."
EA-S34,Moutya,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/moutya-01690,heritage,2026-09-06,1,Seychellois Moutya developed from the experience of enslaved Africans and uses a goat-hide drum traditionally heated near a bonfire.
