sourceId,title,organisationOrAuthor,urlOrReference,sourceType,accessDate,candidateCount,relevantClaim
CA-S01,"Sona, drawings and geometric figures on sand",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/sona-drawings-and-geometric-figures-on-sand-01994,heritage,2026-09-06,4,"Lunda Cokwe and neighbouring peoples in eastern Angola make Sona sand drawings to transmit stories, knowledge and collective memory; the practice is also used in education and contemporary art."
CA-S02,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1511,heritage,2026-09-06,4,"Mbanza Kongo was the Kingdom of Kongo's political and spiritual centre; its landscape preserves customary, colonial and Christian layers and a 1624 Kikongo catechism."
CA-S03,"Nguon, rituals of governance and associated expressions in the Bamoun community",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/nguon-rituals-of-governance-and-associated-expressions-in-the-bamoun-community-01955,heritage,2026-09-06,4,"Bamoun Nguon is a three-day biennial governance practice involving consultation, public accountability, renewed mandate and celebration."
CA-S04,"Ngondo, worship of water oracles and associated cultural traditions among the Sawa",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/ngondo-worship-of-water-oracles-and-associated-cultural-traditions-among-the-sawa-02140,heritage,2026-09-06,4,"Sawa Ngondo runs from September to the first Sunday of December and includes public arts, sport and commerce as well as restricted sacred components."
CA-S05,Dja Faunal Reserve,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/407,heritage,2026-09-06,4,Cameroon's Dja reserve is a largely intact Congo Basin rainforest almost encircled by the Dja River and noted for biodiversity and primates.
CA-S06,Polyphonic singing of the Aka Pygmies of Central Africa,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/polyphonic-singing-of-the-aka-pygmies-of-central-africa-00082,heritage,2026-09-06,4,"Aka communities in south-west Central African Republic maintain a four-voice contrapuntal vocal practice with improvisation, music and dance."
CA-S07,Sangha Trinational,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1380,heritage,2026-09-06,4,"Sangha Trinational joins contiguous parks in Cameroon, Central African Republic and Congo within a wider transboundary forest landscape."
CA-S08,Lakes of Ounianga,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1400,heritage,2026-09-06,4,"Eighteen lakes in two groups form a permanent freshwater system in Chad's hyperarid northeast, sustained by a distinctive hydrology."
CA-S09,Ennedi Massif: Natural and Cultural Landscape,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1475,heritage,2026-09-06,4,"Water and wind shaped northeast Chad's sandstone massif into canyons, arches and cliffs; water sustains life and thousands of rock images document changing lifeways."
CA-S10,Congolese rumba,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/congolese-rumba-01711,heritage,2026-09-06,4,"Congolese rumba is a shared urban music and dance of DRC and Congo, used in varied social settings and transmitted through clubs, schools and community organisations."
CA-S11,Forest Massif of Odzala-Kokoua,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/692,heritage,2026-09-06,4,Odzala-Kokoua in Congo shows post-glacial forest recolonisation across converging forest and savanna ecosystems and has exceptional primate diversity.
CA-S12,Okapi Wildlife Reserve,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/718,heritage,2026-09-06,4,"The reserve protects about one-fifth of DRC's Ituri forest, endemic and threatened wildlife, and landscapes important to Mbuti and Efe communities."
CA-S13,Kingdoms of the Savanna: The Kuba Kingdom,The Metropolitan Museum of Art,https://www.metmuseum.org/essays/kingdoms-of-the-savanna-the-kuba-kingdom,museum,2026-09-06,4,"The multiethnic Kuba kingdom developed court arts, a title system, and idealised ndop royal portraits whose identifying emblem is the ibol."
CA-S14,Ecosystem and Relict Cultural Landscape of Lopé-Okanda,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1147,heritage,2026-09-06,4,"Gabonese Lopé-Okanda combines rainforest and savanna ecology with deep settlement evidence, ironworking and about 1,800 petroglyphs along the Ogooué valley."
CA-S15,Ivindo National Park,UNESCO World Heritage Centre,https://whc.unesco.org/en/list/1653,heritage,2026-09-06,4,"Northern Gabon's Ivindo is an equatorial rainforest landscape of blackwater rivers, rapids and waterfalls with endemic aquatic life and old-growth forest."
